"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","occurrenceRemarks","scientificNameAuthorship","identifiedBy","coordinatePrecision","previousCatalogNumber","geoFlag","yearIdentified","monthIdentified","dayIdentified"
"1","2019-04-08 10:45:00-03","USNM","US-ANIMALIA","USNMENT1443307","PreservedSpecimen","Animalia","Arthropoda","Insecta","Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","S. Lingafelter","2013","2","25","Bolivia","Santa Cruz","[Not Stated]","Florida, Refugio Los Volcanes, 4 km North of Bermejo","-63.6","-18.1","1197.5","1197.5","Pinned","1","Two legs removed for Genetic sampling while on loan to GUELPH",NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-04-05 10:32:02-03","Fiocruz","FIOCRUZ-CEIOC","5149","S","Animalia","Arthropoda",NA,"Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","L.Travassos",NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,"2","Oferecido por L.Travassos","(Linnaeus Jr., 1781)","Travassos, L.","32988","CCP2503","auto",NA,NA,NA
"3","2018-04-05 10:38:13-03","Fiocruz","FIOCRUZ-CEIOC","12967","S","Animalia","Arthropoda","Insecta","Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","Travassos, L.","1927","08","15","Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,"3",NA,"(Linnaeus Jr., 1781)","da Costa Lima, A.M.","32988","CCL88, 89, 90","auto","1927","08","15"
"4","2018-04-05 10:32:02-03","Fiocruz","FIOCRUZ-CEIOC","5231","S","Animalia","Arthropoda",NA,"Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","L.Travassos","1931",NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,"1","Oferecido por L.Travassos","(Linnaeus Jr., 1781)","Travassos, L.","32988","CCP2809","auto","1931",NA,NA
"5","2018-04-05 10:32:02-03","Fiocruz","FIOCRUZ-CEIOC","5232","S","Animalia","Arthropoda",NA,"Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","L.Travassos","1931","06",NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,"1","Oferecido por L.Travassos","(Linnaeus Jr., 1781)","Travassos, L.","32988","CCP2810","auto","1931","06",NA
"6","2018-04-05 10:38:13-03","Fiocruz","FIOCRUZ-CEIOC","9782","S","Animalia","Arthropoda","Insecta","Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","Lopes, H.S.","1936","10",NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,"3",NA,"(Linnaeus Jr., 1781)","Pinto, C.","32988","CCP853, 854, 855","auto","1936","10",NA
"7","2018-04-05 10:38:13-03","Fiocruz","FIOCRUZ-CEIOC","9801","S","Animalia","Arthropoda","Insecta","Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","Ventel, M.","1937",NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,"4",NA,"(Linnaeus Jr., 1781)","Pinto, C.","32988","CCP959, 960","auto","1938",NA,NA
"8","2018-11-12 15:29:12-02","Fiocruz","FIOCRUZ-CEIOC","9973","S","Animalia","Arthropoda","Insecta","Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","Travassos, L.","1932",NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,"Adulto e respectivo casulo. Oferecido por Hugo de Souza Lopes.","(Linnaeus Jr., 1781)","Travassos, L.","32988","CCP720","auto","1932",NA,NA
"9","2018-11-12 15:27:25-02","Fiocruz","FIOCRUZ-CEIOC","5148","S","Animalia","Arthropoda",NA,"Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","L.Travassos",NA,NA,NA,"Brasil","Rio de Janeiro","Rio Claro","Passa Três","-44.1356010437012","-22.7231006622314",NA,NA,NA,NA,"Oferecido por L.Travassos","(Linnaeus Jr., 1781)","Travassos, L.","27045","CCP2502","auto",NA,NA,NA
"10","2018-04-05 10:38:13-03","Fiocruz","FIOCRUZ-CEIOC","10694","S","Animalia","Arthropoda","Insecta","Diptera","Oestridae","Dermatobia","hominis","Dermatobia hominis","Pinto, C.","1941","02","26","Brasil","Rio Grande do Sul","São Borja","Estância S. Rafael","-56.0043983459473","-28.6606006622314",NA,NA,NA,"2",NA,"(Linnaeus Jr., 1781)","Pinto, C.","75549","CCP","auto",NA,NA,NA
